# CUDA_PROFILE_LOG_VERSION 1.5
# CUDA_PROFILE_CSV 1
# CUDA_DEVICE_NAME 0 Tesla C1060
method,gputime,cputime,occupancy,gridSizeX,gridSizeY,blockSizeX,blockSizeY,blockSizeZ,dynSmemPerBlock,staSmemPerBlock,registerPerThread,gld_coherent,gst_coherent,local_load,local_store,branch,divergent_branch,instructions,warp_serialize,cta_launched
memcpyHtoD,23029.3,23219,-1.10204e+33,-161917248,-161917248,160269848,-161917224,160269848,-161917232,-161917296,-161917224,-161917264,-161917216,-161917240,-161917368,0,0,0,0,0
memcpyHtoD,22812.5,22990,-1.10204e+33,160126360,160126360,160269848,0,0,-161917232,-161917296,-161917224,-161917264,-161917216,-161917240,-161917368,0,0,0,0,0
memcpyHtoD,22833.6,23010,3.38416e-33,0,0,0,0,0,160227144,160228400,160269848,160271104,162290496,162291752,162293008,0,0,0,0,0
memcpyHtoD,22838,23015,3.38416e-33,0,0,0,0,0,160227144,160228400,160269848,160271104,162290496,162291752,162293008,0,0,0,0,0
memcpyHtoD,22856.1,23034,3.65319e-42,0,0,0,0,0,25327616,0,1,0,682352,6881312,2097267,0,0,0,0,0
memcpyHtoD,22809.3,22987,1.68156e-44,0,0,0,0,0,5404672,0,65535,0,3997757,7340141,7536745,0,0,0,0,0
memcpyHtoD,23006.2,23187,1.73747e-41,0,0,0,0,0,25393152,0,0,0,2097213,7471215,6422560,0,0,0,0,0
memcpyHtoD,23117,23297,3.69803e-42,0,0,0,0,0,5339136,0,0,2361,7602259,2097268,6881381,0,0,0,0,0
memcpyHtoD,23002.6,23183,4.76441e-44,0,0,0,0,0,25393152,0,209,160048976,7471201,6619250,6750318,0,0,0,0,0
memcpyHtoD,22987.3,23167,1.73299e-41,0,0,0,0,0,5404672,0,-1,160157584,2097268,7274611,6357024,0,0,0,0,0
memcpyHtoD,23043.4,23223,3.69803e-42,0,0,0,0,0,5273600,0,0,0,7471216,7471221,6553700,0,0,0,0,0
memcpyHtoD,22998,,2.8026e-44,0,0,0,0,0,5339136,0,0,0,6684783,6619235,6553701,0,0,0,0,0
update_e,46801,46815,1,64000,1,512,1,1,0,104,13,3870420,2452480,0,0,516309,4261,7681890,0,6400
update_src,12.192,22,0.5,1,1,512,1,1,0,40,24,20,80,0,0,0,0,0,0,1
update_h,46610.4,46620,1,64000,1,512,1,1,0,104,13,3870420,2452480,0,0,516067,4259,7541771,0,6400
update_e,46883.7,46893,1,64000,1,512,1,1,0,104,13,3778080,2401360,0,0,519403,8415,7640254,0,6400
update_src,12.064,22,0.5,1,1,512,1,1,0,40,24,0,0,0,0,0,0,0,0,0
update_h,46562.6,46572,1,64000,1,512,1,1,0,104,13,3857640,2452480,0,0,520344,8520,7546721,0,6400
update_e,46944.8,46954,1,64000,1,512,1,1,0,104,13,3857640,2452480,0,0,520344,8520,7683237,0,6400
update_src,12.032,23,0.5,1,1,512,1,1,0,40,24,0,0,0,0,0,0,0,0,0
update_h,46672.6,46683,1,64000,1,512,1,1,0,104,13,3870420,2452480,0,0,516309,4261,7545306,0,6400
update_e,46859.9,46869,1,64000,1,512,1,1,0,104,13,3870420,2452480,0,0,516067,4259,7678289,0,6400
update_src,11.84,22,0.5,1,1,512,1,1,0,40,24,0,0,0,0,0,0,0,0,0
update_h,46783.2,46793,1,64000,1,512,1,1,0,104,13,3857640,2452480,0,0,520326,8518,7546025,0,6400
update_e,47092.7,47103,1,64000,1,512,1,1,0,104,13,3857640,2452480,0,0,520570,8522,7686152,0,6400
update_src,12,23,0.5,1,1,512,1,1,0,40,24,0,0,0,0,0,0,0,0,0
update_h,46881.3,46891,1,64000,1,512,1,1,0,104,13,3857640,2452480,0,0,520344,8520,7546715,0,6400
update_e,47148.5,47158,1,64000,1,512,1,1,0,104,13,3870420,2452480,0,0,516084,4260,7678966,0,6400
update_src,12.032,22,0.5,1,1,512,1,1,0,40,24,0,0,0,0,0,0,0,0,0
update_h,46702.7,46712,1,64000,1,512,1,1,0,104,13,3870420,2452480,0,0,516309,4261,7545311,0,6400
update_e,47015.7,47025,1,64000,1,512,1,1,0,104,13,3857640,2452480,0,0,520326,8518,7682537,0,6400
update_src,12.224,23,0.5,1,1,512,1,1,0,40,24,0,0,0,0,0,0,0,0,0
update_h,46788.4,46798,1,64000,1,512,1,1,0,104,13,3857640,2452480,0,0,520326,8518,7546028,0,6400
update_e,46977,46986,1,64000,1,512,1,1,0,104,13,3857640,2452480,0,0,520570,8522,7686142,0,6400
update_src,11.936,23,0.5,1,1,512,1,1,0,40,24,0,0,0,0,0,0,0,0,0
update_h,46689.3,46699,1,64000,1,512,1,1,0,104,13,3870420,2452480,0,0,516084,4260,7542468,0,6400
update_e,47006.3,47016,1,64000,1,512,1,1,0,104,13,3870420,2452480,0,0,516084,4260,7678966,0,6400
update_src,11.776,23,0.5,1,1,512,1,1,0,40,24,0,0,0,0,0,0,0,0,0
update_h,46690,46699,1,64000,1,512,1,1,0,104,13,3857640,2452480,0,0,520570,8522,7549585,0,6400
update_e,46992.6,47002,1,64000,1,512,1,1,0,104,13,3857640,2452480,0,0,520326,8518,7682543,0,6400
update_src,11.712,22,0.5,1,1,512,1,1,0,40,24,0,0,0,0,0,0,0,0,0
update_h,46855.8,46865,1,64000,1,512,1,1,0,104,13,3778080,2401360,0,0,519160,8412,7500357,0,6400
update_e,46993.3,47004,1,64000,1,512,1,1,0,104,13,3870420,2452480,0,0,516309,4261,7681883,0,6400
update_src,11.904,22,0.5,1,1,512,1,1,0,40,24,20,80,0,0,0,0,0,0,1
update_h,46708.1,46717,1,64000,1,512,1,1,0,104,13,3870420,2452480,0,0,516067,4259,7541785,0,6400
update_e,46954.3,46964,1,64000,1,512,1,1,0,104,13,3778080,2401360,0,0,519403,8415,7640262,0,6400
update_src,11.712,23,0.5,1,1,512,1,1,0,40,24,0,0,0,0,0,0,0,0,0
update_h,46662.1,46671,1,64000,1,512,1,1,0,104,13,3857640,2452480,0,0,520344,8520,7546713,0,6400
update_e,46952.5,46964,1,64000,1,512,1,1,0,104,13,3857640,2452480,0,0,520344,8520,7683231,0,6400
update_src,11.872,22,0.5,1,1,512,1,1,0,40,24,0,0,0,0,0,0,0,0,0
update_h,46612.8,46623,1,64000,1,512,1,1,0,104,13,3870420,2452480,0,0,516309,4261,7545318,0,6400
update_e,46881.2,46891,1,64000,1,512,1,1,0,104,13,3870420,2452480,0,0,516067,4259,7678287,0,6400
update_src,11.872,22,0.5,1,1,512,1,1,0,40,24,0,0,0,0,0,0,0,0,0
update_h,46773.8,46783,1,64000,1,512,1,1,0,104,13,3857640,2452480,0,0,520326,8518,7546039,0,6400
update_e,47024.7,47035,1,64000,1,512,1,1,0,104,13,3857640,2452480,0,0,520570,8522,7686143,0,6400
update_src,11.808,22,0.5,1,1,512,1,1,0,40,24,0,0,0,0,0,0,0,0,0
update_h,46786.5,46796,1,64000,1,512,1,1,0,104,13,3857640,2452480,0,0,520344,8520,7546731,0,6400
update_e,47072.9,47082,1,64000,1,512,1,1,0,104,13,3870420,2452480,0,0,516084,4260,7678972,0,6400
update_src,11.584,22,0.5,1,1,512,1,1,0,40,24,0,0,0,0,0,0,0,0,0
update_h,46707.1,46716,1,64000,1,512,1,1,0,104,13,3870420,2452480,0,0,516309,4261,7545307,0,6400
update_e,47042.6,47052,1,64000,1,512,1,1,0,104,13,3857640,2452480,0,0,520326,8518,7682538,0,6400
update_src,11.808,22,0.5,1,1,512,1,1,0,40,24,0,0,0,0,0,0,0,0,0
update_h,46670.5,46680,1,64000,1,512,1,1,0,104,13,3857640,2452480,0,0,520326,8518,7546030,0,6400
update_e,46930.9,46940,1,64000,1,512,1,1,0,104,13,3857640,2452480,0,0,520570,8522,7686144,0,6400
update_src,12.128,23,0.5,1,1,512,1,1,0,40,24,0,0,0,0,0,0,0,0,0
update_h,46735.7,46745,1,64000,1,512,1,1,0,104,13,3870420,2452480,0,0,516084,4260,7542474,0,6400
update_e,46996.1,47006,1,64000,1,512,1,1,0,104,13,3870420,2452480,0,0,516084,4260,7678976,0,6400
update_src,12.096,23,0.5,1,1,512,1,1,0,40,24,0,0,0,0,0,0,0,0,0
update_h,46746.3,46756,1,64000,1,512,1,1,0,104,13,3857640,2452480,0,0,520570,8522,7549580,0,6400
update_e,46949.4,46959,1,64000,1,512,1,1,0,104,13,3857640,2452480,0,0,520326,8518,7682546,0,6400
update_src,12.096,22,0.5,1,1,512,1,1,0,40,24,0,0,0,0,0,0,0,0,0
update_h,46730.5,46740,1,64000,1,512,1,1,0,104,13,3778080,2401360,0,0,519160,8412,7500354,0,6400
update_e,46895.4,46905,1,64000,1,512,1,1,0,104,13,3870420,2452480,0,0,516309,4261,7681884,0,6400
update_src,11.968,23,0.5,1,1,512,1,1,0,40,24,20,80,0,0,0,0,0,0,1
update_h,46730.7,46740,1,64000,1,512,1,1,0,104,13,3870420,2452480,0,0,516067,4259,7541788,0,6400
update_e,47054.3,47064,1,64000,1,512,1,1,0,104,13,3778080,2401360,0,0,519403,8415,7640271,0,6400
update_src,11.712,22,0.5,1,1,512,1,1,0,40,24,0,0,0,0,0,0,0,0,0
update_h,46739.6,46749,1,64000,1,512,1,1,0,104,13,3857640,2452480,0,0,520344,8520,7546728,0,6400
update_e,46897.9,46908,1,64000,1,512,1,1,0,104,13,3857640,2452480,0,0,520344,8520,7683233,0,6400
update_src,11.968,22,0.5,1,1,512,1,1,0,40,24,0,0,0,0,0,0,0,0,0
update_h,46606.8,46616,1,64000,1,512,1,1,0,104,13,3870420,2452480,0,0,516309,4261,7545309,0,6400
update_e,46845.2,46854,1,64000,1,512,1,1,0,104,13,3870420,2452480,0,0,516067,4259,7678278,0,6400
update_src,12.128,23,0.5,1,1,512,1,1,0,40,24,0,0,0,0,0,0,0,0,0
update_h,46503.8,46513,1,64000,1,512,1,1,0,104,13,3857640,2452480,0,0,520326,8518,7546030,0,6400
update_e,46976.9,46987,1,64000,1,512,1,1,0,104,13,3857640,2452480,0,0,520570,8522,7686141,0,6400
update_src,12,22,0.5,1,1,512,1,1,0,40,24,0,0,0,0,0,0,0,0,0
update_h,46481.8,46492,1,64000,1,512,1,1,0,104,13,3857640,2452480,0,0,520344,8520,7546725,0,6400
update_e,47226.2,47236,1,64000,1,512,1,1,0,104,13,3870420,2452480,0,0,516084,4260,7678973,0,6400
update_src,12.288,23,0.5,1,1,512,1,1,0,40,24,0,0,0,0,0,0,0,0,0
update_h,46685.8,46695,1,64000,1,512,1,1,0,104,13,3870420,2452480,0,0,516309,4261,7545310,0,6400
update_e,47081.2,47091,1,64000,1,512,1,1,0,104,13,3857640,2452480,0,0,520326,8518,7682546,0,6400
update_src,12.064,22,0.5,1,1,512,1,1,0,40,24,0,0,0,0,0,0,0,0,0
update_h,46668.3,46678,1,64000,1,512,1,1,0,104,13,3857640,2452480,0,0,520326,8518,7546041,0,6400
update_e,46842.3,46852,1,64000,1,512,1,1,0,104,13,3857640,2452480,0,0,520570,8522,7686147,0,6400
update_src,12.48,23,0.5,1,1,512,1,1,0,40,24,0,0,0,0,0,0,0,0,0
update_h,46754.4,46763,1,64000,1,512,1,1,0,104,13,3870420,2452480,0,0,516084,4260,7542460,0,6400
update_e,47046.3,47057,1,64000,1,512,1,1,0,104,13,3870420,2452480,0,0,516084,4260,7678967,0,6400
update_src,12.48,23,0.5,1,1,512,1,1,0,40,24,0,0,0,0,0,0,0,0,0
update_h,46547.9,46558,1,64000,1,512,1,1,0,104,13,3857640,2452480,0,0,520570,8522,7549584,0,6400
update_e,46964.2,46974,1,64000,1,512,1,1,0,104,13,3857640,2452480,0,0,520326,8518,7682540,0,6400
update_src,12.704,23,0.5,1,1,512,1,1,0,40,24,0,0,0,0,0,0,0,0,0
update_h,46535.2,46544,1,64000,1,512,1,1,0,104,13,3778080,2401360,0,0,519160,8412,7500367,0,6400
update_e,47040.2,47050,1,64000,1,512,1,1,0,104,13,3870420,2452480,0,0,516309,4261,7681892,0,6400
update_src,11.84,22,0.5,1,1,512,1,1,0,40,24,20,80,0,0,0,0,0,0,1
update_h,46729,46739,1,64000,1,512,1,1,0,104,13,3870420,2452480,0,0,516067,4259,7541774,0,6400
update_e,47165.2,47175,1,64000,1,512,1,1,0,104,13,3778080,2401360,0,0,519403,8415,7640260,0,6400
update_src,12.16,22,0.5,1,1,512,1,1,0,40,24,0,0,0,0,0,0,0,0,0
update_h,46696.6,46707,1,64000,1,512,1,1,0,104,13,3857640,2452480,0,0,520344,8520,7546724,0,6400
update_e,46993.1,47002,1,64000,1,512,1,1,0,104,13,3857640,2452480,0,0,520344,8520,7683232,0,6400
update_src,12.128,23,0.5,1,1,512,1,1,0,40,24,0,0,0,0,0,0,0,0,0
update_h,46792.1,46802,1,64000,1,512,1,1,0,104,13,3870420,2452480,0,0,516309,4261,7545322,0,6400
update_e,47011.4,47021,1,64000,1,512,1,1,0,104,13,3870420,2452480,0,0,516067,4259,7678290,0,6400
update_src,12.192,23,0.5,1,1,512,1,1,0,40,24,0,0,0,0,0,0,0,0,0
update_h,46573.1,46583,1,64000,1,512,1,1,0,104,13,3857640,2452480,0,0,520326,8518,7546035,0,6400
update_e,46905.9,46915,1,64000,1,512,1,1,0,104,13,3857640,2452480,0,0,520570,8522,7686141,0,6400
update_src,12.192,23,0.5,1,1,512,1,1,0,40,24,0,0,0,0,0,0,0,0,0
update_h,46572.6,46582,1,64000,1,512,1,1,0,104,13,3857640,2452480,0,0,520344,8520,7546732,0,6400
update_e,46941.8,46951,1,64000,1,512,1,1,0,104,13,3870420,2452480,0,0,516084,4260,7678976,0,6400
update_src,12.384,24,0.5,1,1,512,1,1,0,40,24,0,0,0,0,0,0,0,0,0
update_h,46695.3,46705,1,64000,1,512,1,1,0,104,13,3870420,2452480,0,0,516309,4261,7545305,0,6400
update_e,46917.3,46927,1,64000,1,512,1,1,0,104,13,3857640,2452480,0,0,520326,8518,7682539,0,6400
update_src,12.288,23,0.5,1,1,512,1,1,0,40,24,0,0,0,0,0,0,0,0,0
update_h,46684.3,46694,1,64000,1,512,1,1,0,104,13,3857640,2452480,0,0,520326,8518,7546024,0,6400
update_e,46896.2,46906,1,64000,1,512,1,1,0,104,13,3857640,2452480,0,0,520570,8522,7686148,0,6400
update_src,12.48,23,0.5,1,1,512,1,1,0,40,24,0,0,0,0,0,0,0,0,0
update_h,46682.8,46692,1,64000,1,512,1,1,0,104,13,3870420,2452480,0,0,516084,4260,7542464,0,6400
update_e,46921.1,46931,1,64000,1,512,1,1,0,104,13,3870420,2452480,0,0,516084,4260,7678968,0,6400
update_src,12.832,23,0.5,1,1,512,1,1,0,40,24,0,0,0,0,0,0,0,0,0
update_h,46597.2,46606,1,64000,1,512,1,1,0,104,13,3857640,2452480,0,0,520570,8522,7549567,0,6400
update_e,47138.7,47148,1,64000,1,512,1,1,0,104,13,3857640,2452480,0,0,520326,8518,7682555,0,6400
update_src,12.32,23,0.5,1,1,512,1,1,0,40,24,0,0,0,0,0,0,0,0,0
update_h,46758.7,46768,1,64000,1,512,1,1,0,104,13,3778080,2401360,0,0,519160,8412,7500339,0,6400
update_e,47121.1,47131,1,64000,1,512,1,1,0,104,13,3870420,2452480,0,0,516309,4261,7681897,0,6400
update_src,11.744,24,0.5,1,1,512,1,1,0,40,24,20,80,0,0,0,0,0,0,1
update_h,46803.6,46813,1,64000,1,512,1,1,0,104,13,3870420,2452480,0,0,516067,4259,7541782,0,6400
update_e,47152.4,47162,1,64000,1,512,1,1,0,104,13,3778080,2401360,0,0,519403,8415,7640254,0,6400
update_src,11.968,23,0.5,1,1,512,1,1,0,40,24,0,0,0,0,0,0,0,0,0
update_h,46593.2,46602,1,64000,1,512,1,1,0,104,13,3857640,2452480,0,0,520344,8520,7546713,0,6400
update_e,47095.2,47105,1,64000,1,512,1,1,0,104,13,3857640,2452480,0,0,520344,8520,7683235,0,6400
update_src,11.744,22,0.5,1,1,512,1,1,0,40,24,0,0,0,0,0,0,0,0,0
update_h,46447.5,46457,1,64000,1,512,1,1,0,104,13,3870420,2452480,0,0,516309,4261,7545305,0,6400
update_e,47073.9,47084,1,64000,1,512,1,1,0,104,13,3870420,2452480,0,0,516067,4259,7678280,0,6400
update_src,11.968,23,0.5,1,1,512,1,1,0,40,24,0,0,0,0,0,0,0,0,0
update_h,46664.9,46674,1,64000,1,512,1,1,0,104,13,3857640,2452480,0,0,520326,8518,7546030,0,6400
update_e,47074.4,47084,1,64000,1,512,1,1,0,104,13,3857640,2452480,0,0,520570,8522,7686146,0,6400
update_src,12.032,22,0.5,1,1,512,1,1,0,40,24,0,0,0,0,0,0,0,0,0
update_h,46514.6,46524,1,64000,1,512,1,1,0,104,13,3857640,2452480,0,0,520344,8520,7546717,0,6400
update_e,46968.7,46979,1,64000,1,512,1,1,0,104,13,3870420,2452480,0,0,516084,4260,7678966,0,6400
update_src,12.288,23,0.5,1,1,512,1,1,0,40,24,0,0,0,0,0,0,0,0,0
update_h,46725.2,46734,1,64000,1,512,1,1,0,104,13,3870420,2452480,0,0,516309,4261,7545304,0,6400
update_e,46902.3,46913,1,64000,1,512,1,1,0,104,13,3857640,2452480,0,0,520326,8518,7682544,0,6400
