# CUDA_PROFILE_LOG_VERSION 1.5
# CUDA_PROFILE_CSV 1
# CUDA_DEVICE_NAME 0 Tesla C1060
method,gputime,cputime,occupancy,gridSizeX,gridSizeY,blockSizeX,blockSizeY,blockSizeZ,dynSmemPerBlock,staSmemPerBlock,registerPerThread,gld_coherent,gst_coherent,local_load,local_store,branch,divergent_branch,instructions,warp_serialize,cta_launched
memcpyHtoD,23379.6,23584,-1.10204e+33,-161917240,-161917240,160249336,-161917224,160249336,-161917232,-161917320,-161917232,-161917312,-161917224,-161917272,-161917216,-161917192,-161917208,-161917232,-161917288,-161918000
memcpyHtoD,23164.6,23343,-1.10204e+33,163330936,163330936,160249336,-920584,-920584,163393272,-161917320,-161917232,-161917312,-161917224,-161917272,159929488,-161917192,-161917208,-161917232,-161917288,-161918000
memcpyHtoD,23028,23206,4.43174e-33,25458688,5404672,-920584,-920584,-920584,163393272,163226704,163393272,163394528,160249336,160250592,0,163228768,163230024,163231280,163232536,0
memcpyHtoD,23041.6,23224,4.43174e-33,25524224,5339136,-920584,-920584,-920584,163393272,163226704,163393272,163394528,160249336,160250592,0,163228768,163230024,163231280,163232536,0
memcpyHtoD,23019.9,23197,2.69049e-43,25524224,5404672,-986377,-986377,-986377,0,0,1711276032,-2499615,-920584,-1710100,0,544041316,-1512721,-2039066,-2631202,18
memcpyHtoD,23093.6,23271,2.69049e-43,5273600,5339136,-986377,-986377,-986377,0,0,1711276032,-2499615,-920584,-1710100,93,808596264,-1512721,-2039066,-2631202,18
memcpyHtoD,23335.3,23546,2.69049e-43,25458688,5273600,-986377,-986377,-986377,0,0,1711276032,-2499615,-920584,-1710100,92,842211372,-1512721,-2039066,-2631203,18
memcpyHtoD,23332.3,23542,5.38099e-43,25458688,5339136,-986377,-986377,-986377,0,0,1711276032,-2499615,-920584,-1710100,93,857746480,-1512721,-2039066,-2631203,18
memcpyHtoD,23390.7,23596,2.69049e-43,25524224,5273600,-986377,-986377,-986377,0,0,1711276032,-2499615,-920584,-1710100,0,170471474,-1512721,-2039066,-2631203,0
memcpyHtoD,23346.8,23559,5.38099e-43,25524224,5339136,-986377,-986377,-986377,0,0,1711276032,-2499615,-920584,-1710100,0,544040301,-1512721,-2039066,-2631203,0
memcpyHtoD,23386.2,23582,4.48416e-43,3801142,7077992,-986377,-986377,-986377,0,0,1711276032,-2499615,-920584,-1710100,0,909389361,-1512721,-2039066,-2631203,0
memcpyHtoD,23342.1,1,3.58732e-43,3407933,3866676,-986377,-986377,-986377,0,0,1711276032,-2499615,-920584,-1710100,0,172115744,-1512721,-2039066,-2631203,0
update_e,40498.4,40512,1,64000,1,512,1,1,0,104,9,3883200,2452480,0,0,136576,0,3102320,0,6400
update_src,12.128,22,0.5,1,1,512,1,1,0,40,24,20,80,0,0,0,0,0,0,1
update_h,40780.7,40791,1,64000,1,512,1,1,0,104,9,3883200,2452480,0,0,170640,0,2930896,0,6400
update_e,40466.7,40476,1,64000,1,512,1,1,0,104,9,3883070,2452400,0,0,136576,0,3102120,0,6400
update_src,11.84,22,0.5,1,1,512,1,1,0,40,24,0,0,0,0,0,0,0,0,0
update_h,40848.1,40858,1,64000,1,512,1,1,0,104,9,3883200,2452480,0,0,170640,0,2931484,0,6400
update_e,40351.4,40362,1,64000,1,512,1,1,0,104,9,3883200,2452480,0,0,136512,0,3101552,0,6400
update_src,12.096,22,0.5,1,1,512,1,1,0,40,24,0,0,0,0,0,0,0,0,0
update_h,40763.3,40772,1,64000,1,512,1,1,0,104,9,3883200,2452480,0,0,170720,0,2932272,0,6400
update_e,40364.4,40374,1,64000,1,512,1,1,0,104,9,3883200,2452480,0,0,136512,0,3100863,0,6400
update_src,12.128,23,0.5,1,1,512,1,1,0,40,24,0,0,0,0,0,0,0,0,0
update_h,40738.1,40748,1,64000,1,512,1,1,0,104,9,3883200,2452480,0,0,170640,0,2930896,0,6400
update_e,40338.1,40348,1,64000,1,512,1,1,0,104,9,3883200,2452480,0,0,136576,0,3102320,0,6400
update_src,12.096,22,0.5,1,1,512,1,1,0,40,24,0,0,0,0,0,0,0,0,0
update_h,40807.5,40817,1,64000,1,512,1,1,0,104,9,3883200,2452480,0,0,170640,0,2931488,0,6400
update_e,40405.1,40414,1,64000,1,512,1,1,0,104,9,3883200,2452480,0,0,136512,0,3101552,0,6400
update_src,12.096,23,0.5,1,1,512,1,1,0,40,24,0,0,0,0,0,0,0,0,0
update_h,40806.3,40815,1,64000,1,512,1,1,0,104,9,3883200,2452480,0,0,170720,0,2932272,0,6400
update_e,40303.5,40313,1,64000,1,512,1,1,0,104,9,3883200,2452480,0,0,136512,0,3100864,0,6400
update_src,12.16,23,0.5,1,1,512,1,1,0,40,24,0,0,0,0,0,0,0,0,0
update_h,40888.5,40898,1,64000,1,512,1,1,0,104,9,3883200,2452480,0,0,170640,0,2930896,0,6400
update_e,40353,40362,1,64000,1,512,1,1,0,104,9,3883200,2452480,0,0,136576,0,3102320,0,6400
update_src,12.32,23,0.5,1,1,512,1,1,0,40,24,0,0,0,0,0,0,0,0,0
update_h,40792.5,40802,1,64000,1,512,1,1,0,104,9,3883200,2452480,0,0,170640,0,2931488,0,6400
update_e,40518,40528,1,64000,1,512,1,1,0,104,9,3883200,2452480,0,0,136512,0,3101552,0,6400
update_src,11.968,23,0.5,1,1,512,1,1,0,40,24,0,0,0,0,0,0,0,0,0
update_h,40912.4,40922,1,64000,1,512,1,1,0,104,9,3883200,2452480,0,0,170720,0,2932272,0,6400
update_e,40370.4,40380,1,64000,1,512,1,1,0,104,9,3883200,2452480,0,0,136512,0,3100864,0,6400
update_src,11.968,23,0.5,1,1,512,1,1,0,40,24,0,0,0,0,0,0,0,0,0
update_h,40892.3,40902,1,64000,1,512,1,1,0,104,9,3883068,2452400,0,0,170640,0,2930896,0,6400
update_e,40383.6,40394,1,64000,1,512,1,1,0,104,9,3883200,2452480,0,0,136576,0,3102320,0,6400
update_src,11.872,23,0.5,1,1,512,1,1,0,40,24,20,80,0,0,0,0,0,0,1
update_h,40801.4,40812,1,64000,1,512,1,1,0,104,9,3883200,2452480,0,0,170640,0,2930896,0,6400
update_e,40391.2,40401,1,64000,1,512,1,1,0,104,9,3883070,2452400,0,0,136576,0,3102120,0,6400
update_src,11.52,22,0.5,1,1,512,1,1,0,40,24,0,0,0,0,0,0,0,0,0
update_h,40864.1,40874,1,64000,1,512,1,1,0,104,9,3883200,2452480,0,0,170640,0,2931484,0,6400
update_e,40324.3,40334,1,64000,1,512,1,1,0,104,9,3883200,2452480,0,0,136512,0,3101552,0,6400
