# CUDA_PROFILE_LOG_VERSION 1.5
# CUDA_PROFILE_CSV 1
# CUDA_DEVICE_NAME 0 Tesla C1060
method,gputime,cputime,occupancy,gridSizeX,gridSizeY,blockSizeX,blockSizeY,blockSizeZ,dynSmemPerBlock,staSmemPerBlock,registerPerThread,gld_coherent,gst_coherent,local_load,local_store,branch,divergent_branch,instructions,warp_serialize,cta_launched
memcpyHtoD,23231.3,23411,-1.13341e+33,-161511584,-161511584,-161511584,-161511584,145152968,-161511592,-161511592,-161511600,-161511600,-161511600,-161511608,-161511616,0,0,0,0,0
memcpyHtoD,23074.6,23256,-1.13341e+33,145150464,145150464,145152968,0,0,-161511592,-161511592,-161511600,-161511600,-161511600,-161511608,-161511616,0,0,0,0,0
memcpyHtoD,23049.8,23230,1.00115e-33,0,0,0,0,0,145156720,145157976,145159232,145160488,145161744,145163000,145164256,0,0,0,0,0
memcpyHtoD,23090.4,23271,1.00115e-33,0,0,0,0,0,145156720,145157976,145159232,145160488,145161744,145163000,145164256,0,0,0,0,0
memcpyHtoD,23073.4,23256,0,0,0,0,0,0,0,-2368031,-2696996,-2696996,0,0,0,0,0,0,0,0
memcpyHtoD,23072.3,23253,0,0,0,0,0,0,0,-2368031,-2696996,4329,0,0,51209,0,0,0,0,0
memcpyHtoD,23355.2,23561,nan,0,0,0,0,0,0,-2368031,-2696996,145062152,0,0,0,0,0,0,0,0
memcpyHtoD,23422.2,23630,nan,0,0,0,0,0,0,-2368031,-2696996,-161512496,0,0,0,0,0,0,0,0
memcpyHtoD,23359.9,23570,0,0,0,0,0,0,0,-2368031,-2696996,0,0,0,0,0,0,0,0,0
memcpyHtoD,23389.3,23577,0,0,0,0,0,0,0,-2368031,-2696996,0,0,0,0,0,0,0,0,0
memcpyHtoD,23377.2,23569,nan,0,0,0,0,0,0,-2368031,-2696996,-2696996,0,0,0,0,0,0,0,0
memcpyHtoD,23377.7,,nan,0,0,0,0,0,0,-2368031,-2696996,-2696996,0,0,0,0,0,0,0,0
update_e,43093.5,43192,1,20,3200,16,32,1,0,56,9,613118,2452472,0,0,136577,1,3682993,0,6400
update_src,15.456,27,0.5,1,1,512,1,1,0,40,24,20,80,0,0,0,0,0,0,1
update_h,42709.2,42719,1,20,3200,16,32,1,0,56,9,613118,2452472,0,0,170641,1,2896994,0,6400
update_e,43038.2,43048,1,20,3200,16,32,1,0,56,9,613118,2452472,0,0,136577,1,3682993,0,6400
update_src,15.072,27,0.5,1,1,512,1,1,0,40,24,0,0,0,0,0,0,0,0,0
update_h,42265.8,42276,1,20,3200,16,32,1,0,56,9,613118,2452472,0,0,170640,0,2897552,0,6400
update_e,43466.3,43477,1,20,3200,16,32,1,0,56,9,613118,2452472,0,0,136512,0,3681920,0,6400
update_src,14.848,26,0.5,1,1,512,1,1,0,40,24,0,0,0,0,0,0,0,0,0
update_h,42424.8,42434,1,20,3200,16,32,1,0,56,9,613118,2452472,0,0,170721,1,2898354,0,6400
update_e,42994,43003,1,20,3200,16,32,1,0,56,9,613118,2452472,0,0,136513,1,3681266,0,6400
update_src,14.784,26,0.5,1,1,512,1,1,0,40,24,0,0,0,0,0,0,0,0,0
update_h,42706.5,42716,1,20,3200,16,32,1,0,56,9,613118,2452472,0,0,170641,1,2896994,0,6400
