# CUDA_PROFILE_LOG_VERSION 1.5
# CUDA_PROFILE_CSV 1
# CUDA_DEVICE_NAME 0 Tesla C1060
method,gputime,cputime,occupancy,gridSizeX,gridSizeY,blockSizeX,blockSizeY,blockSizeZ,dynSmemPerBlock,staSmemPerBlock,registerPerThread,gld_coherent,gst_coherent,local_load,local_store,branch,divergent_branch,instructions,warp_serialize,cta_launched
memcpyHtoD,11218.9,11408,-1.06783e+33,-162359408,-162359408,-162359416,-162359416,164047680,-162359464,-162359376,-162359376,-162359376,-162359376,-162359376,-162359376,-162359384,-162359392,-162359392,-162359392,-162359400
memcpyHtoD,11136.3,11316,-1.06783e+33,164023576,164023576,164047680,0,0,-162359464,-162359376,-162359376,-162359376,-162359376,-162359376,-162359376,-162359384,-162359392,-162359392,-162359392,-162359400
memcpyHtoD,11058.9,11236,4.77268e-33,24,12,0,0,0,164083832,164101112,164113168,164125224,164137280,164149336,164161392,164375024,164387080,164399136,164411192,164318096
memcpyHtoD,11043.9,11222,4.77268e-33,12,24,0,0,0,164083832,164101112,164113168,164125224,164137280,164149336,164161392,164375024,164387080,164399136,164411192,164318096
memcpyHtoD,11058.9,11238,1.4013e-45,12,12,0,0,0,0,-157696052,1184524800,56,16,1,161802320,166375232,166665344,166953920,167244032,256
memcpyHtoD,11069.8,11248,3.58732e-43,24,12,0,0,0,164083816,0,401,40,40,3,164161448,166375328,166665440,166954016,167243168,1
memcpyHtoD,11165.2,11343,1.4013e-45,12,24,0,0,0,56,0,164113768,164125112,164137344,0,-157696052,166375424,166664576,166954112,167243264,1
memcpyHtoD,11182.4,11361,1.4013e-45,12,12,0,0,0,40,164101000,-162360368,1,0,256,0,166375520,166664672,166954208,167243360,256
memcpyHtoD,11141.9,11320,3.58732e-43,24,12,0,0,0,164083728,40,16,1,161802320,1087611379,0,166375616,166664768,166954304,167243456,1
memcpyHtoD,11155.9,11336,1.4013e-45,12,24,0,0,0,1,40,40,3,164137352,2,164161392,166375712,166664864,166954400,167243552,1
memcpyHtoD,11166.9,11345,1.4013e-45,12,12,0,0,0,1,164100912,164113248,0,-157696052,61440,56,166375808,166664960,166954496,167243648,256
memcpyHtoD,11171.4,1,3.58732e-43,24,12,0,0,0,3,1,0,1,0,497,40,166375904,166665056,166954592,167243744,1
update_e,20321.1,20334,1,61440,1,256,1,1,0,104,12,1850513,1176448,0,0,231416,4088,3440041,0,6144
update_src,10.944,21,0.25,1,1,256,1,1,0,40,24,16,64,0,0,48,0,784,0,1
update_h,19829.8,19839,1,61440,1,256,1,1,0,104,12,1850513,1176448,0,0,231416,4088,3390884,0,6144
update_e,20306,20315,1,61440,1,256,1,1,0,104,12,1840858,1170240,0,0,231287,4071,3434356,0,6144
update_src,10.88,21,0.25,1,1,256,1,1,0,40,24,0,0,0,0,0,0,0,0,0
update_h,19716.4,19725,1,61440,1,256,1,1,0,104,12,1840961,1170304,0,0,231288,4072,3385359,0,6144
update_e,20215.3,20225,1,61440,1,256,1,1,0,104,12,1850314,1176320,0,0,231415,4087,3439672,0,6144
update_src,10.88,22,0.25,1,1,256,1,1,0,40,24,0,0,0,0,0,0,0,0,0
update_h,19650.4,19660,1,61440,1,256,1,1,0,104,12,1850513,1176448,0,0,231416,4088,3390860,0,6144
update_e,20307.1,20316,1,61440,1,256,1,1,0,104,12,1840762,1170176,0,0,231287,4071,3434172,0,6144
update_src,11.2,21,0.25,1,1,256,1,1,0,40,24,0,0,0,0,0,0,0,0,0
update_h,19803.4,19813,1,61440,1,256,1,1,0,104,12,1840961,1170304,0,0,231288,4072,3385357,0,6144
update_e,20338.5,20348,1,61440,1,256,1,1,0,104,12,1850314,1176320,0,0,231415,4087,3439680,0,6144
update_src,10.944,21,0.25,1,1,256,1,1,0,40,24,0,0,0,0,0,0,0,0,0
update_h,19871.9,19881,1,61440,1,256,1,1,0,104,12,1850314,1176320,0,0,231416,4088,3390866,0,6144
update_e,20171.3,20180,1,61440,1,256,1,1,0,104,12,1840762,1170176,0,0,231287,4071,3434171,0,6144
update_src,10.912,22,0.25,1,1,256,1,1,0,40,24,0,0,0,0,0,0,0,0,0
update_h,19883.4,19892,1,61440,1,256,1,1,0,104,12,1840762,1170176,0,0,231288,4072,3385355,0,6144
update_e,20278.4,20287,1,61440,1,256,1,1,0,104,12,1850314,1176320,0,0,231415,4087,3439676,0,6144
update_src,11.168,22,0.25,1,1,256,1,1,0,40,24,0,0,0,0,0,0,0,0,0
update_h,19634.5,19643,1,61440,1,256,1,1,0,104,12,1850314,1176320,0,0,231416,4088,3390865,0,6144
update_e,20302.5,20311,1,61440,1,256,1,1,0,104,12,1840961,1170304,0,0,231287,4071,3434176,0,6144
update_src,10.816,21,0.25,1,1,256,1,1,0,40,24,0,0,0,0,0,0,0,0,0
update_h,19748.1,19757,1,61440,1,256,1,1,0,104,12,1840762,1170176,0,0,231288,4072,3385355,0,6144
update_e,20368.5,20377,1,61440,1,256,1,1,0,104,12,1850513,1176448,0,0,231415,4087,3439672,0,6144
update_src,11.168,21,0.25,1,1,256,1,1,0,40,24,0,0,0,0,0,0,0,0,0
update_h,19781.1,19790,1,61440,1,256,1,1,0,104,12,1850314,1176320,0,0,231416,4088,3390863,0,6144
update_e,20305.8,20315,1,61440,1,256,1,1,0,104,12,1840961,1170304,0,0,231287,4071,3434171,0,6144
update_src,10.944,21,0.25,1,1,256,1,1,0,40,24,0,0,0,0,0,0,0,0,0
update_h,19820.1,19829,1,61440,1,256,1,1,0,104,12,1840858,1170240,0,0,231288,4072,3385361,0,6144
update_e,20159.5,20169,1,61440,1,256,1,1,0,104,12,1850513,1176448,0,0,231415,4087,3439677,0,6144
update_src,10.816,22,0.25,1,1,256,1,1,0,40,24,16,64,0,0,0,0,0,0,1
update_h,19774.3,19783,1,61440,1,256,1,1,0,104,12,1850513,1176448,0,0,231416,4088,3390865,0,6144
update_e,20207.6,20216,1,61440,1,256,1,1,0,104,12,1840858,1170240,0,0,231287,4071,3434168,0,6144
update_src,10.624,21,0.25,1,1,256,1,1,0,40,24,0,0,0,0,0,0,0,0,0
update_h,19778.1,19787,1,61440,1,256,1,1,0,104,12,1840961,1170304,0,0,231288,4072,3385355,0,6144
