# CUDA_PROFILE_LOG_VERSION 1.5
# CUDA_PROFILE_CSV 1
# CUDA_DEVICE_NAME 0 Tesla C1060
method,gputime,cputime,occupancy,gridSizeX,gridSizeY,blockSizeX,blockSizeY,blockSizeZ,dynSmemPerBlock,staSmemPerBlock,registerPerThread,gld_coherent,gst_coherent,local_load,local_store,branch,divergent_branch,instructions,warp_serialize,cta_launched
memcpyHtoD,11202.9,11383,-1.06782e+33,-1974309,-1974309,-1250586,-1250586,-1250586,-1,0,0,0,0,0,0,0,0,0,0,-162359416
memcpyHtoD,11115.7,11297,-1.06782e+33,-1974309,-1974309,-1250586,-1250586,-1250586,-1,0,0,0,0,0,0,0,0,0,0,-162359416
memcpyHtoD,11080.6,11266,7.97039e-33,-1974309,-1974309,-1250586,-1250586,-1250586,0,0,0,0,0,0,0,0,0,0,0,170701864
memcpyHtoD,11080.8,11262,7.97039e-33,-1974309,-1974309,-1250586,-1250586,-1250586,0,0,0,0,0,0,0,0,0,0,0,170701864
memcpyHtoD,11119,11303,1.51116e+23,-1974309,-1974309,-1250586,-1250586,-1250586,-1,0,0,0,0,0,0,0,0,0,0,0
memcpyHtoD,11101.1,11285,1.51116e+23,-1974309,-1974309,-1250586,-1250586,-1250586,-1,0,0,0,0,0,0,0,0,0,0,0
memcpyHtoD,11421.7,11634,1.51116e+23,-1974309,-1974309,-1250586,-1250586,-1250586,0,0,0,0,0,0,0,0,0,0,0,0
memcpyHtoD,11385.3,11596,1.51116e+23,-1974309,-1974309,-1250586,-1250586,-1250586,0,0,0,0,0,0,0,0,0,0,0,0
memcpyHtoD,11411.5,11619,1.51116e+23,-1974309,-1974309,-1250586,-1250586,-1250586,-1,0,0,0,0,0,0,0,0,0,0,0
memcpyHtoD,11407.3,11607,1.51116e+23,-1974309,-1974309,-1250586,-1250586,-1250586,-1,0,0,0,0,0,0,0,0,0,0,0
memcpyHtoD,11418.8,11617,1.51116e+23,-1974309,-1974309,-1250586,-1250586,-1250586,0,0,0,0,0,0,0,0,0,0,0,0
memcpyHtoD,11382.9,1,1.51116e+23,-1974309,-1974309,-1250586,-1250586,-1250586,0,0,0,0,0,0,0,0,0,0,0,0
update_e,20664.9,20677,1,61440,1,256,1,1,0,104,9,1862776,1176448,0,0,65536,0,1472153,0,6144
update_src,11.424,22,0.25,1,1,256,1,1,0,40,24,16,64,0,0,48,0,784,0,1
update_h,20418,20427,1,61440,1,256,1,1,0,104,9,1862776,1176448,0,0,65536,0,1193625,0,6144
update_e,20590.4,20599,1,61440,1,256,1,1,0,104,9,1862472,1176256,0,0,65536,0,1471688,0,6144
update_src,11.008,22,0.25,1,1,256,1,1,0,40,24,0,0,0,0,0,0,0,0,0
update_h,20376.6,20385,1,61440,1,256,1,1,0,104,9,1862776,1176448,0,0,65536,0,1193618,0,6144
update_e,20725.9,20735,1,61440,1,256,1,1,0,104,9,1862576,1176320,0,0,65536,0,1471840,0,6144
