# CUDA_PROFILE_LOG_VERSION 1.5
# CUDA_PROFILE_CSV 1
# CUDA_DEVICE_NAME 0 Tesla C1060
method,gputime,cputime,occupancy,gridSizeX,gridSizeY,blockSizeX,blockSizeY,blockSizeZ,dynSmemPerBlock,staSmemPerBlock,registerPerThread,gld_coherent,gst_coherent,local_load,local_store,branch,divergent_branch,instructions,warp_serialize,cta_launched
memcpyHtoD,11220.4,11401,1.04693e-38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-162359416
memcpyHtoD,11102.7,11285,1.01021e-38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-162359416
memcpyHtoD,11120.7,11303,3.21429e-39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177555304
memcpyHtoD,11108.6,11290,2.93881e-39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177555304
memcpyHtoD,11100.3,11283,4.2245e-39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
memcpyHtoD,11119.2,11300,9.18419e-40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
memcpyHtoD,11396.1,11604,1.07448e-38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
memcpyHtoD,11448.3,11658,1.04694e-38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
memcpyHtoD,11400.9,11608,9.9183e-39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
memcpyHtoD,11389.7,11585,9.00003e-39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
memcpyHtoD,11391.4,11586,1.02856e-38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
memcpyHtoD,11360.5,1,1.06531e-38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
update_e,21579.3,21592,1,16,3840,16,16,1,0,104,9,1764666,1176444,0,0,65536,0,1619616,0,6144
update_src,11.072,22,0.25,1,1,256,1,1,0,40,24,16,64,0,0,48,0,784,0,1
update_h,21352.4,21362,1,16,3840,16,16,1,0,104,9,1764666,1176444,0,0,65536,0,1357507,0,6144
update_e,21571.2,21580,1,16,3840,16,16,1,0,104,9,1960658,1176312,0,0,65536,1,1619296,0,6144
update_src,10.848,21,0.25,1,1,256,1,1,0,40,24,0,0,0,0,0,0,0,0,0
update_h,21334.8,21344,1,16,3840,16,16,1,0,104,9,1960873,1176444,0,0,65536,0,1357471,0,6144
update_e,21634.1,21643,1,16,3840,16,16,1,0,104,9,1764468,1176312,0,0,65536,1,1619296,0,6144
update_src,10.816,21,0.25,1,1,256,1,1,0,40,24,0,0,0,0,0,0,0,0,0
update_h,21398.6,21408,1,16,3840,16,16,1,0,104,9,1764666,1176444,0,0,65536,0,1357460,0,6144
update_e,21600.8,21610,1,16,3840,16,16,1,0,104,9,1960658,1176312,0,0,65536,1,1619296,0,6144
update_src,10.976,21,0.25,1,1,256,1,1,0,40,24,0,0,0,0,0,0,0,0,0
update_h,21387.8,21397,1,16,3840,16,16,1,0,104,9,1960872,1176444,0,0,65536,0,1357461,0,6144
update_e,21644.2,21653,1,16,3840,16,16,1,0,104,9,1764468,1176312,0,0,65536,1,1619296,0,6144
update_src,11.04,22,0.25,1,1,256,1,1,0,40,24,0,0,0,0,0,0,0,0,0
update_h,21288.7,21298,1,16,3840,16,16,1,0,104,9,1764468,1176312,0,0,65536,0,1357469,0,6144
update_e,21538,21547,1,16,3840,16,16,1,0,104,9,1960658,1176312,0,0,65536,1,1619296,0,6144
update_src,10.976,21,0.25,1,1,256,1,1,0,40,24,0,0,0,0,0,0,0,0,0
update_h,21365.4,21374,1,16,3840,16,16,1,0,104,9,1960658,1176312,0,0,65536,0,1357461,0,6144
update_e,21655.1,21664,1,16,3840,16,16,1,0,104,9,1764468,1176312,0,0,65536,1,1619296,0,6144
update_src,11.264,21,0.25,1,1,256,1,1,0,40,24,0,0,0,0,0,0,0,0,0
update_h,21315.6,21325,1,16,3840,16,16,1,0,104,9,1764468,1176312,0,0,65536,0,1357476,0,6144
update_e,21650.2,21659,1,16,3840,16,16,1,0,104,9,1960873,1176444,0,0,65536,1,1619296,0,6144
update_src,10.816,21,0.25,1,1,256,1,1,0,40,24,0,0,0,0,0,0,0,0,0
update_h,21450.4,21460,1,16,3840,16,16,1,0,104,9,1960658,1176312,0,0,65536,0,1357461,0,6144
update_e,21538.7,21548,1,16,3840,16,16,1,0,104,9,1764666,1176444,0,0,65536,1,1619296,0,6144
update_src,11.04,22,0.25,1,1,256,1,1,0,40,24,0,0,0,0,0,0,0,0,0
update_h,21313.2,21322,1,16,3840,16,16,1,0,104,9,1764468,1176312,0,0,65536,0,1357471,0,6144
update_e,21637.2,21646,1,16,3840,16,16,1,0,104,9,1960873,1176444,0,0,65536,1,1619296,0,6144
update_src,11.008,22,0.25,1,1,256,1,1,0,40,24,0,0,0,0,0,0,0,0,0
update_h,21393.8,21402,1,16,3840,16,16,1,0,104,9,1960657,1176312,0,0,65536,0,1357464,0,6144
update_e,21643.5,21653,1,16,3840,16,16,1,0,104,9,1764666,1176444,0,0,65536,1,1619296,0,6144
update_src,10.848,21,0.25,1,1,256,1,1,0,40,24,16,64,0,0,0,0,0,0,1
update_h,21411,21422,1,16,3840,16,16,1,0,104,9,1764666,1176444,0,0,65536,0,1357460,0,6144
update_e,21556.6,21565,1,16,3840,16,16,1,0,104,9,1960658,1176312,0,0,65536,1,1619296,0,6144
