# CUDA_PROFILE_LOG_VERSION 1.5
# CUDA_PROFILE_CSV 1
# CUDA_DEVICE_NAME 0 Tesla C1060
method,gputime,cputime,occupancy,gridSizeX,gridSizeY,blockSizeX,blockSizeY,blockSizeZ,dynSmemPerBlock,staSmemPerBlock,registerPerThread,gld_coherent,gst_coherent,local_load,local_store,branch,divergent_branch,instructions,warp_serialize,cta_launched
memcpyHtoD,11242.5,11425,1.04693e-38,-1053207,-1053207,-2303275,-2303275,-2303275,0,0,0,0,0,0,0,0,0,0,0,-162359416
memcpyHtoD,11119.3,11303,1.01021e-38,-1053207,-1053207,-2303275,-2303275,-2303275,0,0,0,0,0,0,0,0,0,0,0,-162359416
memcpyHtoD,11118.1,11302,3.21429e-39,-1053207,-1053207,-2303275,-2303275,-2303275,0,0,0,0,0,0,0,0,0,0,0,190781072
memcpyHtoD,11095,11277,2.93881e-39,-1053207,-1053207,-2303275,-2303275,-2303275,0,0,0,0,0,0,0,0,0,0,0,190781072
memcpyHtoD,11126.3,11307,4.2245e-39,-1053207,-1053207,-2303275,-2303275,-2303275,0,0,0,0,0,0,0,0,0,0,0,0
memcpyHtoD,11111.1,11292,9.18419e-40,-1053207,-1053207,-2303275,-2303275,-2303275,0,0,0,0,0,0,0,0,0,0,0,0
memcpyHtoD,11419.4,11626,1.07448e-38,-1053207,-1053207,-2303275,-2303275,-2303275,0,0,0,0,0,0,0,0,0,0,0,0
memcpyHtoD,11461.9,11669,1.04694e-38,-1053207,-1053207,-2303275,-2303275,-2303275,0,0,0,0,0,0,0,0,0,0,0,0
memcpyHtoD,11417.8,11623,9.9183e-39,-1053207,-1053207,-2303275,-2303275,-2303275,0,0,0,0,0,0,0,0,0,0,0,0
memcpyHtoD,11420.4,11629,9.00003e-39,-1053207,-1053207,-2303275,-2303275,-2303275,0,0,0,0,0,0,0,0,0,0,0,0
memcpyHtoD,11459,11657,1.02856e-38,-1053207,-1053207,-2303275,-2303275,-2303275,0,0,0,0,0,0,0,0,0,0,0,0
memcpyHtoD,11435.2,1,1.06531e-38,-1053207,-1053207,-2303275,-2303275,-2303275,0,0,0,0,0,0,0,0,0,0,0,0
update_e,19906,19961,1,61440,1,256,1,1,0,80,9,1568664,1176448,0,0,65536,0,1472160,0,6144
update_src,13.824,25,0.25,1,1,256,1,1,0,40,24,16,64,0,0,48,0,784,0,1
update_h,19749.1,19759,1,61440,1,256,1,1,0,80,9,1568664,1176448,0,0,65536,0,1193640,0,6144
update_e,19917.7,19926,1,61440,1,256,1,1,0,80,9,1568408,1176256,0,0,65536,0,1471688,0,6144
update_src,13.408,24,0.25,1,1,256,1,1,0,40,24,0,0,0,0,0,0,0,0,0
update_h,19729.8,19739,1,61440,1,256,1,1,0,80,9,1568664,1176448,0,0,65536,0,1193617,0,6144
update_e,19928.7,19938,1,61440,1,256,1,1,0,80,9,1568496,1176320,0,0,65536,0,1471840,0,6144
update_src,13.632,25,0.25,1,1,256,1,1,0,40,24,0,0,0,0,0,0,0,0,0
update_h,19796.6,19806,1,61440,1,256,1,1,0,80,9,1568664,1176448,0,0,65536,0,1193618,0,6144
update_e,19902.1,19911,1,61440,1,256,1,1,0,80,9,1568496,1176320,0,0,65536,0,1471840,0,6144
update_src,13.568,24,0.25,1,1,256,1,1,0,40,24,0,0,0,0,0,0,0,0,0
update_h,19815.9,19825,1,61440,1,256,1,1,0,80,9,1568663,1176448,0,0,65536,0,1193619,0,6144
update_e,19952.4,19962,1,61440,1,256,1,1,0,80,9,1568496,1176320,0,0,65536,0,1471840,0,6144
update_src,13.504,24,0.25,1,1,256,1,1,0,40,24,0,0,0,0,0,0,0,0,0
update_h,19729.5,19738,1,61440,1,256,1,1,0,80,9,1568496,1176320,0,0,65536,0,1193619,0,6144
update_e,19961.4,19971,1,61440,1,256,1,1,0,80,9,1568496,1176320,0,0,65536,0,1471840,0,6144
update_src,13.44,24,0.25,1,1,256,1,1,0,40,24,0,0,0,0,0,0,0,0,0
update_h,19814.9,19824,1,61440,1,256,1,1,0,80,9,1568496,1176320,0,0,65536,0,1193620,0,6144
update_e,19962.1,19972,1,61440,1,256,1,1,0,80,9,1568496,1176320,0,0,65536,0,1471840,0,6144
update_src,13.792,25,0.25,1,1,256,1,1,0,40,24,0,0,0,0,0,0,0,0,0
update_h,19829.2,19838,1,61440,1,256,1,1,0,80,9,1568496,1176320,0,0,65536,0,1193617,0,6144
update_e,19931.8,19941,1,61440,1,256,1,1,0,80,9,1568664,1176448,0,0,65536,0,1471840,0,6144
update_src,13.664,24,0.25,1,1,256,1,1,0,40,24,0,0,0,0,0,0,0,0,0
update_h,19796.2,19806,1,61440,1,256,1,1,0,80,9,1568496,1176320,0,0,65536,0,1193617,0,6144
update_e,19965.6,19975,1,61440,1,256,1,1,0,80,9,1568664,1176448,0,0,65536,0,1471840,0,6144
update_src,13.856,24,0.25,1,1,256,1,1,0,40,24,0,0,0,0,0,0,0,0,0
update_h,19753.3,19762,1,61440,1,256,1,1,0,80,9,1568495,1176320,0,0,65536,0,1193617,0,6144
update_e,19935.1,19945,1,61440,1,256,1,1,0,80,9,1568664,1176448,0,0,65536,0,1471840,0,6144
update_src,13.408,24,0.25,1,1,256,1,1,0,40,24,0,0,0,0,0,0,0,0,0
update_h,19776.1,19786,1,61440,1,256,1,1,0,80,9,1568408,1176256,0,0,65536,0,1193618,0,6144
update_e,19917.1,19926,1,61440,1,256,1,1,0,80,9,1568664,1176448,0,0,65536,0,1471840,0,6144
update_src,13.088,23,0.25,1,1,256,1,1,0,40,24,16,64,0,0,0,0,0,0,1
update_h,19794.5,19804,1,61440,1,256,1,1,0,80,9,1568664,1176448,0,0,65536,0,1193617,0,6144
update_e,19946.8,19956,1,61440,1,256,1,1,0,80,9,1568408,1176256,0,0,65536,0,1471840,0,6144
update_src,13.472,24,0.25,1,1,256,1,1,0,40,24,0,0,0,0,0,0,0,0,0
update_h,19759.8,19769,1,61440,1,256,1,1,0,80,9,1568664,1176448,0,0,65536,0,1193617,0,6144
update_e,19970.7,19980,1,61440,1,256,1,1,0,80,9,1568496,1176320,0,0,65536,0,1471846,0,6144
update_src,13.312,24,0.25,1,1,256,1,1,0,40,24,0,0,0,0,0,0,0,0,0
update_h,19793.2,19802,1,61440,1,256,1,1,0,80,9,1568664,1176448,0,0,65536,0,1193617,0,6144
update_e,19970,19980,1,61440,1,256,1,1,0,80,9,1568496,1176320,0,0,65536,0,1471840,0,6144
update_src,13.6,24,0.25,1,1,256,1,1,0,40,24,0,0,0,0,0,0,0,0,0
