# CUDA_PROFILE_LOG_VERSION 1.5
# CUDA_PROFILE_CSV 1
# CUDA_DEVICE_NAME 0 Tesla C1060
method,gputime,cputime,occupancy,gridSizeX,gridSizeY,blockSizeX,blockSizeY,blockSizeZ,dynSmemPerBlock,staSmemPerBlock,registerPerThread,gld_coherent,gst_coherent,local_load,local_store,branch,divergent_branch,instructions,warp_serialize,cta_launched
memcpyHtoD,11239.4,11416,-1.06782e+33,-162359440,-162359440,-162359416,-162359416,224030992,-162359456,0,7471136,3014771,2949240,6750305,6357110,0,0,0,0,-162359416
memcpyHtoD,11128.9,11307,-1.06782e+33,223980056,223980056,224030992,101,47,-162359456,27820,7209077,6357104,7143539,7536741,7667820,0,0,0,0,-162359416
memcpyHtoD,11090.8,11267,6.70068e-31,0,0,107,105,102,224010168,27819,2293792,6815860,7143525,7340079,7536741,0,0,0,0,224675672
memcpyHtoD,11103.7,11282,6.70068e-31,276,24,97,110,103,224010168,224401786,2097202,2097162,2097191,6750315,6881312,0,0,0,0,224675672
memcpyHtoD,11097.2,11275,0,40,48,47,70,68,16843855,655440,3014702,6684704,3997757,7471199,2097267,0,0,0,0,0
memcpyHtoD,11098.5,11276,2.59375,217267744,223980064,84,68,95,137,7077955,655406,7274610,655421,7536741,6881384,0,0,0,0,0
memcpyHtoD,11424.9,11624,0,0,0,80,121,67,224050112,7536751,7667759,2097261,7602259,7667823,6553700,0,0,0,0,0
memcpyHtoD,11422.5,11620,3.02344,276,24,85,68,65,217333232,2097253,7471219,7012464,7471201,6488178,7209061,0,0,0,0,0
memcpyHtoD,11410.8,11607,0,0,0,47,116,101,5,7471216,7077935,6226023,2097268,7536741,655406,0,0,0,0,0
memcpyHtoD,11415.8,11605,3.24219,276,24,109,112,95,3,6946927,6422633,6619250,7471216,7340078,6619219,0,0,0,0,0
memcpyHtoD,11429.9,11618,0,6925,2065,99,117,100,0,6488165,7340079,7274611,6750319,6488185,7536755,0,0,0,0,0
memcpyHtoD,11410.6,1,3.02344,224212960,224006936,97,95,112,1076625408,2097268,7602297,7471221,6357106,2097196,7274601,0,0,0,0,0
update_e,22535.2,22548,1,16,3840,16,4,4,3072,112,16,1178014,1176380,0,0,163840,0,3980091,0,6144
update_src,10.944,22,0.25,1,1,256,1,1,0,48,24,16,64,0,0,48,0,784,0,1
update_h,23757.2,23766,1,16,3840,16,4,4,3072,112,16,1178014,1176380,0,0,163840,0,3750754,0,6144
update_e,22629.8,22639,1,16,3840,16,4,4,3072,112,16,1177996,1176344,0,0,163840,1,3980035,0,6144
update_src,10.816,21,0.25,1,1,256,1,1,0,48,24,0,0,0,0,0,0,0,0,0
update_h,23865.4,23874,1,16,3840,16,4,4,3072,112,16,1178014,1176380,0,0,163840,0,3750700,0,6144
update_e,22626.5,22635,1,16,3840,16,4,4,3072,112,16,1177996,1176344,0,0,163840,1,3980026,0,6144
update_src,10.592,21,0.25,1,1,256,1,1,0,48,24,0,0,0,0,0,0,0,0,0
update_h,23805.1,23814,1,16,3840,16,4,4,3072,112,16,1178014,1176380,0,0,163840,0,3750723,0,6144
update_e,22575.5,22585,1,16,3840,16,4,4,3072,112,16,1177996,1176344,0,0,163840,1,3980027,0,6144
update_src,10.976,21,0.25,1,1,256,1,1,0,48,24,0,0,0,0,0,0,0,0,0
update_h,23888.4,23897,1,16,3840,16,4,4,3072,112,16,1178014,1176380,0,0,163840,0,3750697,0,6144
update_e,22661.3,22670,1,16,3840,16,4,4,3072,112,16,1177996,1176344,0,0,163840,1,3980011,0,6144
update_src,11.04,21,0.25,1,1,256,1,1,0,48,24,0,0,0,0,0,0,0,0,0
update_h,23892.3,23904,1,16,3840,16,4,4,3072,112,16,1178012,1176376,0,0,163840,0,3750711,0,6144
update_e,22562.1,22571,1,16,3840,16,4,4,3072,112,16,1178012,1176376,0,0,163840,1,3980061,0,6144
update_src,10.912,22,0.25,1,1,256,1,1,0,48,24,0,0,0,0,0,0,0,0,0
update_h,23866.3,23875,1,16,3840,16,4,4,3072,112,16,1178012,1176376,0,0,163840,0,3750705,0,6144
update_e,22620.7,22630,1,16,3840,16,4,4,3072,112,16,1178012,1176376,0,0,163840,1,3980074,0,6144
update_src,11.008,21,0.25,1,1,256,1,1,0,48,24,0,0,0,0,0,0,0,0,0
update_h,23907.7,23916,1,16,3840,16,4,4,3072,112,16,1177996,1176344,0,0,163840,0,3750712,0,6144
update_e,22636.7,22646,1,16,3840,16,4,4,3072,112,16,1178014,1176380,0,0,163840,1,3980056,0,6144
update_src,10.848,22,0.25,1,1,256,1,1,0,48,24,0,0,0,0,0,0,0,0,0
update_h,23886.8,23895,1,16,3840,16,4,4,3072,112,16,1177996,1176344,0,0,163840,0,3750708,0,6144
update_e,22590.5,22600,1,16,3840,16,4,4,3072,112,16,1178014,1176380,0,0,163840,1,3980051,0,6144
update_src,10.816,21,0.25,1,1,256,1,1,0,48,24,0,0,0,0,0,0,0,0,0
update_h,23755.8,23765,1,16,3840,16,4,4,3072,112,16,1177996,1176344,0,0,163840,0,3750721,0,6144
update_e,22682,22691,1,16,3840,16,4,4,3072,112,16,1178014,1176380,0,0,163840,1,3980068,0,6144
update_src,11.232,22,0.25,1,1,256,1,1,0,48,24,0,0,0,0,0,0,0,0,0
update_h,23923.9,23933,1,16,3840,16,4,4,3072,112,16,1177996,1176344,0,0,163840,0,3750711,0,6144
update_e,22618.2,22627,1,16,3840,16,4,4,3072,112,16,1178014,1176380,0,0,163840,1,3980056,0,6144
update_src,10.496,21,0.25,1,1,256,1,1,0,48,24,16,64,0,0,0,0,0,0,1
update_h,23697.2,23706,1,16,3840,16,4,4,3072,112,16,1178014,1176380,0,0,163840,0,3750706,0,6144
update_e,22657.1,22665,1,16,3840,16,4,4,3072,112,16,1177996,1176344,0,0,163840,1,3980047,0,6144
update_src,10.656,22,0.25,1,1,256,1,1,0,48,24,0,0,0,0,0,0,0,0,0
update_h,23873.1,23881,1,16,3840,16,4,4,3072,112,16,1178014,1176380,0,0,163840,0,3750701,0,6144
update_e,22541.9,22551,1,16,3840,16,4,4,3072,112,16,1177996,1176344,0,0,163840,1,3980062,0,6144
update_src,10.56,21,0.25,1,1,256,1,1,0,48,24,0,0,0,0,0,0,0,0,0
update_h,23942.3,23951,1,16,3840,16,4,4,3072,112,16,1178014,1176380,0,0,163840,0,3750703,0,6144
update_e,22647.4,22656,1,16,3840,16,4,4,3072,112,16,1177996,1176344,0,0,163840,1,3980061,0,6144
update_src,10.976,22,0.25,1,1,256,1,1,0,48,24,0,0,0,0,0,0,0,0,0
update_h,23851.2,23860,1,16,3840,16,4,4,3072,112,16,1178014,1176380,0,0,163840,0,3750685,0,6144
update_e,22727.9,22736,1,16,3840,16,4,4,3072,112,16,1177996,1176344,0,0,163840,1,3980054,0,6144
update_src,10.72,21,0.25,1,1,256,1,1,0,48,24,0,0,0,0,0,0,0,0,0
update_h,23887.4,23896,1,16,3840,16,4,4,3072,112,16,1178012,1176376,0,0,163840,1,3750711,0,6144
update_e,22609.9,22618,1,16,3840,16,4,4,3072,112,16,1178012,1176376,0,0,163840,1,3980062,0,6144
update_src,11.072,21,0.25,1,1,256,1,1,0,48,24,0,0,0,0,0,0,0,0,0
update_h,23951.4,23960,1,16,3840,16,4,4,3072,112,16,1178012,1176376,0,0,163840,1,3750700,0,6144
update_e,22640.4,22649,1,16,3840,16,4,4,3072,112,16,1178012,1176376,0,0,163840,1,3980066,0,6144
update_src,10.752,21,0.25,1,1,256,1,1,0,48,24,0,0,0,0,0,0,0,0,0
update_h,23912.4,23921,1,16,3840,16,4,4,3072,112,16,1177996,1176344,0,0,163840,1,3750719,0,6144
update_e,22532.7,22542,1,16,3840,16,4,4,3072,112,16,1178014,1176380,0,0,163840,0,3980043,0,6144
update_src,11.264,22,0.25,1,1,256,1,1,0,48,24,0,0,0,0,0,0,0,0,0
