# CUDA_PROFILE_LOG_VERSION 1.5
# CUDA_PROFILE_CSV 1
# CUDA_DEVICE_NAME 0 Tesla C1060
method,gputime,cputime,occupancy,gridSizeX,gridSizeY,blockSizeX,blockSizeY,blockSizeZ,dynSmemPerBlock,staSmemPerBlock,registerPerThread,gld_coherent,gst_coherent,local_load,local_store,branch,divergent_branch,instructions,warp_serialize,cta_launched
memcpyHtoD,11251.2,11428,-1.06782e+33,-162359440,-162359440,47,104,111,-162359456,3145783,7536745,7536741,7471212,7536725,3538996,0,0,0,0,-162359416
memcpyHtoD,11057.2,11236,-1.06782e+33,230681688,230681688,109,101,47,-162359456,3211309,2949236,7667823,6357093,7471205,3538990,0,0,0,0,-162359416
memcpyHtoD,11059.4,11238,1.19924e-30,1,0,107,105,102,230825872,2949220,6357104,6488178,7929956,6357079,3407927,0,0,0,0,231306616
memcpyHtoD,11058,11236,1.19924e-30,16318467,65552,97,110,103,230825872,6619252,7012451,6226021,6881312,7209074,3342384,0,0,0,0,231306616
memcpyHtoD,11068.5,11246,1.82169e-44,40,40,47,70,68,230856368,2949240,6750305,7602291,7340141,7209065,3211317,0,0,0,0,0
memcpyHtoD,11037.5,11218,3.36312e-44,224240736,33701228,84,68,95,-162359472,7143539,7536741,6619250,7471215,3801191,3538997,0,0,0,0,0
memcpyHtoA,12426.1,12495,0,2,16850615,80,121,67,230856368,7143525,7340079,7143521,6619252,5046304,655410,0,0,0,0,0
memcpyHtoA,12547.6,12616,0,230681744,224351656,85,68,65,224386384,2097191,6750315,655370,2097252,6553711,5242890,0,0,0,0,0
memcpyHtoA,12424.4,12491,1.82169e-44,12528,230713400,47,116,101,0,3997757,7471199,6881380,7471206,7078005,7274610,0,0,0,0,0
memcpyHtoA,12399.2,12456,3.36312e-44,0,3329,109,112,95,0,655421,7536741,2097261,7143535,2097253,7471207,0,0,0,0,0
memcpyHtoA,12428.9,12485,6.72623e-44,230731536,-162359600,99,117,100,0,7602259,7667823,3276840,3080224,6881395,7143521,0,0,0,0,0
memcpyHtoA,12417.4,1,5.60519e-44,230731536,230760832,97,95,112,0,7471201,6488178,3538997,7536757,6619252,7471136,0,0,0,0,0
update_e,16236.5,16292,0.75,16,3840,16,4,4,3072,80,19,883919,1176380,0,0,163840,0,4110696,0,6144
update_src,13.792,25,0.25,1,1,256,1,1,0,48,24,16,64,0,0,48,0,784,0,1
update_h,15183.4,15193,0.75,16,3840,16,4,4,3072,80,17,883919,1176380,0,0,163840,0,3897706,0,6144
update_e,16258.1,16268,0.75,16,3840,16,4,4,3072,80,19,883910,1176344,0,0,163840,1,4110628,0,6144
update_src,13.28,24,0.25,1,1,256,1,1,0,48,24,0,0,0,0,0,0,0,0,0
update_h,15213.9,15223,0.75,16,3840,16,4,4,3072,80,17,883919,1176380,0,0,163840,0,3897697,0,6144
update_e,16273.9,16283,0.75,16,3840,16,4,4,3072,80,19,883910,1176344,0,0,163840,1,4110630,0,6144
update_src,13.696,24,0.25,1,1,256,1,1,0,48,24,0,0,0,0,0,0,0,0,0
update_h,15232.4,15242,0.75,16,3840,16,4,4,3072,80,17,883919,1176380,0,0,163840,0,3897680,0,6144
update_e,16258.8,16269,0.75,16,3840,16,4,4,3072,80,19,883910,1176344,0,0,163840,1,4110636,0,6144
update_src,13.792,25,0.25,1,1,256,1,1,0,48,24,0,0,0,0,0,0,0,0,0
update_h,15274.7,15284,0.75,16,3840,16,4,4,3072,80,17,883919,1176380,0,0,163840,0,3897687,0,6144
update_e,16214.8,16225,0.75,16,3840,16,4,4,3072,80,19,883910,1176344,0,0,163840,1,4110620,0,6144
update_src,13.76,24,0.25,1,1,256,1,1,0,48,24,0,0,0,0,0,0,0,0,0
update_h,15263.1,15273,0.75,16,3840,16,4,4,3072,80,17,883918,1176376,0,0,163840,0,3897703,0,6144
update_e,16241.2,16252,0.75,16,3840,16,4,4,3072,80,19,883918,1176376,0,0,163840,1,4110674,0,6144
update_src,13.76,24,0.25,1,1,256,1,1,0,48,24,0,0,0,0,0,0,0,0,0
update_h,15258.5,15268,0.75,16,3840,16,4,4,3072,80,17,883918,1176376,0,0,163840,0,3897684,0,6144
update_e,16227.1,16236,0.75,16,3840,16,4,4,3072,80,19,883918,1176376,0,0,163840,1,4110683,0,6144
update_src,13.824,25,0.25,1,1,256,1,1,0,48,24,0,0,0,0,0,0,0,0,0
update_h,15236.4,15247,0.75,16,3840,16,4,4,3072,80,17,883910,1176344,0,0,163840,0,3897682,0,6144
update_e,16234.8,16244,0.75,16,3840,16,4,4,3072,80,19,883919,1176380,0,0,163840,1,4110673,0,6144
update_src,13.568,24,0.25,1,1,256,1,1,0,48,24,0,0,0,0,0,0,0,0,0
update_h,15241.6,15251,0.75,16,3840,16,4,4,3072,80,17,883910,1176344,0,0,163840,0,3897713,0,6144
update_e,16221.2,16231,0.75,16,3840,16,4,4,3072,80,19,883919,1176380,0,0,163840,1,4110675,0,6144
update_src,13.632,24,0.25,1,1,256,1,1,0,48,24,0,0,0,0,0,0,0,0,0
update_h,15298.8,15308,0.75,16,3840,16,4,4,3072,80,17,883910,1176344,0,0,163840,0,3897698,0,6144
update_e,16219.4,16229,0.75,16,3840,16,4,4,3072,80,19,883919,1176380,0,0,163840,1,4110701,0,6144
update_src,13.728,24,0.25,1,1,256,1,1,0,48,24,0,0,0,0,0,0,0,0,0
update_h,15215,15224,0.75,16,3840,16,4,4,3072,80,17,883910,1176344,0,0,163840,0,3897685,0,6144
update_e,16266.6,16276,0.75,16,3840,16,4,4,3072,80,19,883919,1176380,0,0,163840,1,4110682,0,6144
update_src,13.376,24,0.25,1,1,256,1,1,0,48,24,16,64,0,0,0,0,0,0,1
update_h,15266.3,15276,0.75,16,3840,16,4,4,3072,80,17,883919,1176380,0,0,163840,0,3897676,0,6144
update_e,16232,16242,0.75,16,3840,16,4,4,3072,80,19,883910,1176344,0,0,163840,1,4110672,0,6144
update_src,13.216,24,0.25,1,1,256,1,1,0,48,24,0,0,0,0,0,0,0,0,0
update_h,15284.3,15293,0.75,16,3840,16,4,4,3072,80,17,883919,1176380,0,0,163840,0,3897679,0,6144
update_e,16231.3,16242,0.75,16,3840,16,4,4,3072,80,19,883910,1176344,0,0,163840,1,4110690,0,6144
update_src,13.408,25,0.25,1,1,256,1,1,0,48,24,0,0,0,0,0,0,0,0,0
update_h,15193.8,15204,0.75,16,3840,16,4,4,3072,80,17,883919,1176380,0,0,163840,0,3897699,0,6144
update_e,16241.2,16251,0.75,16,3840,16,4,4,3072,80,19,883910,1176344,0,0,163840,1,4110679,0,6144
update_src,13.536,24,0.25,1,1,256,1,1,0,48,24,0,0,0,0,0,0,0,0,0
update_h,15245.8,15255,0.75,16,3840,16,4,4,3072,80,17,883919,1176380,0,0,163840,0,3897713,0,6144
update_e,16276.6,16287,0.75,16,3840,16,4,4,3072,80,19,883910,1176344,0,0,163840,1,4110679,0,6144
update_src,13.6,24,0.25,1,1,256,1,1,0,48,24,0,0,0,0,0,0,0,0,0
update_h,15288.8,15299,0.75,16,3840,16,4,4,3072,80,17,883918,1176376,0,0,163840,1,3897718,0,6144
update_e,16206,16216,0.75,16,3840,16,4,4,3072,80,19,883918,1176376,0,0,163840,1,4110684,0,6144
update_src,13.568,25,0.25,1,1,256,1,1,0,48,24,0,0,0,0,0,0,0,0,0
update_h,15226.5,15236,0.75,16,3840,16,4,4,3072,80,17,883918,1176376,0,0,163840,1,3897680,0,6144
update_e,16295.3,16305,0.75,16,3840,16,4,4,3072,80,19,883918,1176376,0,0,163840,1,4110683,0,6144
update_src,13.472,24,0.25,1,1,256,1,1,0,48,24,0,0,0,0,0,0,0,0,0
update_h,15286.2,15296,0.75,16,3840,16,4,4,3072,80,17,883910,1176344,0,0,163840,1,3897686,0,6144
update_e,16198.1,16207,0.75,16,3840,16,4,4,3072,80,19,883919,1176380,0,0,163840,0,4110688,0,6144
update_src,13.6,24,0.25,1,1,256,1,1,0,48,24,0,0,0,0,0,0,0,0,0
update_h,15278.7,15288,0.75,16,3840,16,4,4,3072,80,17,883910,1176344,0,0,163840,1,3897686,0,6144
update_e,16278.3,16288,0.75,16,3840,16,4,4,3072,80,19,883919,1176380,0,0,163840,0,4110672,0,6144
update_src,13.632,24,0.25,1,1,256,1,1,0,48,24,0,0,0,0,0,0,0,0,0
update_h,15300.4,15310,0.75,16,3840,16,4,4,3072,80,17,883910,1176344,0,0,163840,1,3897706,0,6144
update_e,16259.7,16269,0.75,16,3840,16,4,4,3072,80,19,883919,1176380,0,0,163840,0,4110674,0,6144
update_src,13.568,25,0.25,1,1,256,1,1,0,48,24,0,0,0,0,0,0,0,0,0
update_h,15220.9,15231,0.75,16,3840,16,4,4,3072,80,17,883910,1176344,0,0,163840,1,3897687,0,6144
update_e,16237.8,16247,0.75,16,3840,16,4,4,3072,80,19,883919,1176380,0,0,163840,0,4110672,0,6144
update_src,13.088,23,0.25,1,1,256,1,1,0,48,24,16,64,0,0,0,0,0,0,1
update_h,15272.9,15283,0.75,16,3840,16,4,4,3072,80,17,883919,1176380,0,0,163840,1,3897706,0,6144
update_e,16262.6,16273,0.75,16,3840,16,4,4,3072,80,19,883910,1176344,0,0,163840,0,4110705,0,6144
update_src,13.184,24,0.25,1,1,256,1,1,0,48,24,0,0,0,0,0,0,0,0,0
update_h,15284.8,15294,0.75,16,3840,16,4,4,3072,80,17,883919,1176380,0,0,163840,1,3897698,0,6144
update_e,16286.9,16297,0.75,16,3840,16,4,4,3072,80,19,883910,1176344,0,0,163840,0,4110695,0,6144
update_src,13.536,24,0.25,1,1,256,1,1,0,48,24,0,0,0,0,0,0,0,0,0
update_h,15290.3,15300,0.75,16,3840,16,4,4,3072,80,17,883919,1176380,0,0,163840,1,3897713,0,6144
