# CUDA_PROFILE_LOG_VERSION 1.5
# CUDA_PROFILE_CSV 1
# CUDA_DEVICE_NAME 0 Tesla C1060
method,gputime,cputime,occupancy,gridSizeX,gridSizeY,blockSizeX,blockSizeY,blockSizeZ,dynSmemPerBlock,staSmemPerBlock,registerPerThread,gld_coherent,gst_coherent,local_load,local_store,branch,divergent_branch,instructions,warp_serialize,cta_launched
memcpyHtoD,23418.2,23625,-1.06492e+33,-162396896,-162396896,-162396728,-162396728,143497544,-162396968,-162396952,-162396920,-162396920,-162396920,-162396904,-162396704,-162396664,-162397232,-162397232,-162397232,-162397232
memcpyHtoD,23317.9,23504,-1.06492e+33,0,135261288,143497544,144343768,144343744,-162396968,-162396952,144177248,144316680,-162396920,-162396904,-162396704,-162396664,-162397232,-162397232,-162397232,-162397232
memcpyHtoD,23217.2,23405,5.04467e-44,105,0,144343792,0,3,0,4,0,0,143687128,0,144387344,143494432,0,0,143657648,143657648
memcpyHtoD,23176,23359,9.21906e-34,135261288,137728704,0,6938,0,23,3,0,135261288,-144103372,0,144387344,143494432,0,0,138063672,138063672
memcpyHtoD,23169,23351,4.33104e-34,0,0,1,229,226,1,1398,0,4991337,0,0,0,0,141049376,144054048,138655008,138655008
memcpyHtoD,23175.7,23358,4.33104e-34,135261288,0,228,175,1,-4911008,615,137944224,0,0,137944224,137944224,1078362112,138227640,143532528,138060552,138060552
memcpyHtoD,23486.7,23703,4.33104e-34,1073741824,135261016,6939,0,0,144098768,1413,0,135261288,0,0,0,0,143936240,143515856,138247592,138247592
memcpyHtoD,23533.2,23751,4.33104e-34,0,135261288,227,0,0,138315472,851,137944224,137728704,0,137944224,137944224,1078034432,141068136,138722656,141059432,141059432
memcpyHtoD,23470.3,23707,4.33104e-34,0,-144103372,3,0,7026,138144888,2,0,0,-1,0,0,0,144126936,141056216,138241344,138241344
memcpyHtoD,23477.9,23692,4.33104e-34,1,-144103372,0,89,233,138058240,852,138671712,0,-1,138671712,143748352,1078362112,144135272,138200096,138648248,138648248
memcpyHtoD,23529,23722,4.33104e-34,0,2048,227,231,471,138207312,1413,138031896,135261288,137948384,138031896,138031896,0,138661128,138653888,138229888,138229888
memcpyHtoD,23477.6,1,4.33104e-34,61440,270512,3,7027,0,138171920,955,144308952,0,0,144317240,138068504,1078853632,138648624,138316280,143859816,143859816
update_e,28484.8,28498,1,10,6400,32,16,1,6144,112,15,2478080,2449920,0,0,170720,0,4178304,0,6400
update_src,12.288,23,0.5,1,1,512,1,1,0,48,24,20,80,0,0,0,0,0,0,1
update_h,28785.8,28795,1,10,6400,32,16,1,6144,112,13,2478080,2449920,0,0,170640,0,4177016,0,6400
