# CUDA_PROFILE_LOG_VERSION 1.3
# CUDA_PROFILE_CSV 1
# CUDA_DEVICE_NAME 0 Tesla C1060
method,gputime,cputime,occupancy,dynSmemPerBlock,staSmemPerBlock,registerPerThread,gld_coherent,gst_coherent,local_load,local_store,branch,divergent_branch,instructions,warp_serialize,cta_launched
initmem,1407.36,1423,1,0,32,2,0,686336,0,0,28608,0,106850,0,5362
initmem,1406.37,1419,1,0,32,2,0,686336,0,0,28592,0,107158,0,5362
initmem,1406.46,1418,1,0,32,2,0,686208,0,0,28592,0,107702,0,5361
initmem,1411.01,1423,1,0,32,2,0,688640,0,0,28688,0,107071,0,5380
initmem,1410.66,1423,1,0,32,2,0,688512,0,0,28688,0,106715,0,5379
initmem,1410.75,1423,1,0,32,2,0,688512,0,0,28688,0,107223,0,5379
memcopy,18460.7,19766,,,,
memcopy,18751,19446,,,,
memcopy,18749,19418,,,,
update_e,47280.7,47298,1,0,104,12,4481476,3435000,0,0,141120,0,2870324,0,5291
update_src,9.568,22,0.312,0,40,26,0,0,0,0,0,0,0,0,0
update_h,41913,41927,1,0,80,13,3734373,3434826,0,0,141120,0,2879642,0,5291
update_e,47422.3,47436,1,0,104,12,4481182,3434718,0,0,141040,0,2863540,0,5291
update_src,8.896,22,0.312,0,40,26,0,0,0,0,0,0,0,0,0
update_h,41815.3,41829,1,0,80,13,3734285,3434730,0,0,141120,0,2879172,0,5291
update_e,47434.9,47449,1,0,104,12,4481166,3434718,0,0,141120,0,2869135,0,5291
update_src,8.896,22,0.312,0,40,26,0,0,0,0,0,0,0,0,0
update_h,41821.4,41835,1,0,80,13,3734298,3434688,0,0,141040,0,2874907,0,5291
update_e,47425.8,47440,1,0,104,12,4480500,3434202,0,0,141120,0,2860329,0,5290
update_src,9.28,22,0.312,0,40,26,0,0,0,0,0,0,0,0,0
update_h,41865.6,41879,1,0,80,13,3734505,3435000,0,0,141040,0,2875748,0,5291
update_e,47466.9,47481,1,0,104,12,4481172,3434700,0,0,141120,0,2867095,0,5291
update_src,8.896,22,0.312,0,40,26,0,0,0,0,0,0,0,0,0
update_h,41991.1,42004,1,0,80,13,3734267,3434718,0,0,141120,0,2875538,0,5291
update_e,47428.1,47443,1,0,104,12,4481160,3434808,0,0,141040,0,2863038,0,5291
update_src,8.864,22,0.312,0,40,26,0,0,0,0,0,0,0,0,0
update_h,41761.8,41775,1,0,80,13,3734263,3434718,0,0,141120,0,2870658,0,5291
update_e,47340.6,47355,1,0,104,12,4480272,3434040,0,0,141040,0,2862632,0,5290
update_src,8.832,21,0.312,0,40,26,19,76,0,0,30,0,583,0,1
update_h,41945.3,41959,1,0,80,13,3733677,3434202,0,0,141040,0,2872735,0,5290
update_e,47434.2,47448,1,0,104,12,4481268,3434826,0,0,141120,0,2867120,0,5291
update_src,8.704,21,0.312,0,40,26,0,0,0,0,0,0,0,0,0
update_h,41918.8,41933,1,0,80,13,3734272,3434700,0,0,141040,0,2866112,0,5291
update_e,47259.9,47274,1,0,104,12,4481188,3434730,0,0,141120,0,2864501,0,5291
update_src,8.416,21,0.312,0,40,26,0,0,0,0,0,0,0,0,0
update_h,42117,42130,1,0,80,13,3734252,3434808,0,0,141120,0,2873652,0,5291
update_e,47354.5,47368,1,0,104,12,4481220,3434688,0,0,141040,0,2863700,0,5291
update_src,8.544,21,0.312,0,40,26,0,0,0,0,0,0,0,0,0
update_h,41929.5,41943,1,0,80,13,3733517,3434040,0,0,141120,0,2877778,0,5290
