# CUDA_PROFILE_LOG_VERSION 1.3
# CUDA_PROFILE_CSV 1
# CUDA_DEVICE_NAME 0 Tesla C1060
method,gputime,cputime,occupancy,dynSmemPerBlock,staSmemPerBlock,registerPerThread,gld_coherent,gst_coherent,local_load,local_store,branch,divergent_branch,instructions,warp_serialize,cta_launched
initmem,1026.5,1043,1,0,32,2,0,500096,0,0,20848,0,77017,0,3907
initmem,1025.47,1038,1,0,32,2,0,499968,0,0,20832,0,78490,0,3906
initmem,1025.02,1037,1,0,32,2,0,499968,0,0,20832,0,78416,0,3906
initmem,1029.44,1041,1,0,32,2,0,502016,0,0,20912,0,78293,0,3922
initmem,1029.7,1041,1,0,32,2,0,502016,0,0,20912,0,77759,0,3922
initmem,1029.57,1042,1,0,32,2,0,502016,0,0,20928,0,78300,0,3922
memcopy,13418.3,14663,,,,
memcopy,13628,14256,,,,
memcopy,13628.2,14295,,,,
update_e,16044.8,16062,1,6152,112,12,1632708,1499904,0,0,104160,0,1146617,0,3906
update_src,9.632,24,0.312,0,40,26,0,0,0,0,0,0,0,0,0
update_h,12909.8,12922,1,6152,80,13,1247750,1488000,0,0,104160,0,1162589,0,3907
update_e,16038.5,16052,1,6152,112,12,1632708,1499904,0,0,104160,0,1145451,0,3906
update_src,9.024,22,0.312,0,40,26,0,0,0,0,0,0,0,0,0
update_h,12933,12946,1,6152,80,13,1247750,1488000,0,0,104160,0,1162725,0,3906
update_e,16043.9,16057,1,6152,112,12,1633126,1500288,0,0,104160,0,1148142,0,3907
update_src,8.704,22,0.312,0,40,26,0,0,0,0,0,0,0,0,0
update_h,12929,12942,1,6152,80,13,1247750,1488000,0,0,104160,0,1162011,0,3906
update_e,16028.9,16042,1,6152,112,12,1632708,1499904,0,0,104160,0,1143404,0,3906
update_src,8.96,22,0.312,0,40,26,20,80,0,0,30,0,612,0,1
update_h,12919,12932,1,6152,80,13,1247750,1488000,0,0,104160,0,1162350,0,3906
update_e,16031.4,16045,1,6152,112,12,1632708,1499904,0,0,104160,0,1144552,0,3906
update_src,8.992,23,0.312,0,40,26,0,0,0,0,0,0,0,0,0
update_h,12923.9,12937,1,6152,80,13,1247750,1488000,0,0,104160,0,1161200,0,3907
update_e,16001.6,16015,1,6152,112,12,1632708,1499904,0,0,104160,0,1149313,0,3906
update_src,9.056,22,0.312,0,40,26,0,0,0,0,0,0,0,0,0
update_h,12916.9,12930,1,6152,80,13,1247750,1488000,0,0,104160,0,1161158,0,3906
update_e,16031.8,16045,1,6152,112,12,1632916,1500096,0,0,104160,0,1147948,0,3907
update_src,8.896,22,0.312,0,40,26,0,0,0,0,0,0,0,0,0
update_h,12926.4,12940,1,6152,80,13,1247750,1488000,0,0,104160,0,1161809,0,3906
update_e,16063.7,16077,1,6152,112,12,1632708,1499904,0,0,104160,0,1147416,0,3906
update_src,9.088,22,0.312,0,40,26,0,0,0,0,0,0,0,0,0
update_h,12922.9,12935,1,6152,80,13,1247750,1488000,0,0,104240,0,1163592,0,3907
update_e,16047,16060,1,6152,112,12,1632708,1499904,0,0,104160,0,1144305,0,3906
update_src,8.512,22,0.312,0,40,26,0,0,0,0,0,0,0,0,0
update_h,12924,12936,1,6152,80,13,1247750,1488000,0,0,104160,0,1161674,0,3906
update_e,16067.9,16081,1,6152,112,12,1633126,1500288,0,0,104160,0,1143022,0,3907
update_src,8.832,22,0.312,0,40,26,0,0,0,0,0,0,0,0,0
update_h,12931.2,12945,1,6152,80,13,1247750,1488000,0,0,104160,0,1160398,0,3906
